"Vet Med Labor GmbHLabor KornwestheimLabor Leipzig069 153 253 290Division of IDEXX LaboratoriesHumboldtstraße 2Druckereistraße 4www.idexx.de70806 Kornwestheim04159 Leipziglaborservice@idexx.com"
""
"Vet Med Labor GmbHLabor KornwestheimLabor Leipzig069 153 253 290Division of IDEXX LaboratoriesHumboldtstraße 2Druckereistraße 4www.idexx.de70806 Kornwestheim04159 Leipziglaborservice@idexx.com"
www.idexx.de
"Vet Med Labor GmbHLabor KornwestheimLabor Leipzig069 153 253 290Division of IDEXX LaboratoriesHumboldtstraße 2Druckereistraße 4www.idexx.de70806 Kornwestheim04159 Leipziglaborservice@idexx.com",
"",
"",
laborservice@idexx.com,
www.idexx.de,
"",
"Account ID:ADAGPet-Owner:PereiraInternal lab-number:LZ057364Dr. Geoffrey Schembri AdamiAnimal name:DaisyBarcode number:79595011Animal Aid Vet ClinicSpecies:CanineDate of receipt:27.08.202549 Oscar Zammit StreetGender:FMaterial:Serum, EDTA wholeMSD 1282 MsidaAge:5 Yblood, Blood smear,Urine (no additive)",
LAB REPORT:Daisy,
"Vet Med Labor GmbHLabor KornwestheimLabor Leipzig069 153 253 290Division of IDEXX LaboratoriesHumboldtstraße 2Druckereistraße 4www.idexx.de70806 Kornwestheim04159 Leipziglaborservice@idexx.com"
""
""
"",TEST,,ESULT,EFERENCE VALUE,
ALT (GPT),,30 25 - 122,U/L,,1)
AST (GOT),,32 14 - 59,U/L,,1)
Alkaline phosphatase,,71 14 - 147,U/L,,1)
GGT,,3 2 - 13,U/L,,1)
GLDH,,2 1 - 18,U/L,,1)
Bilirubin (total),,6.84 0 - 6.84,μmol/L,,1)
Cholesterol,,9.21 3.59 - 10.29,mmol/L,,1)
Triglycerides,,0.72 0.32 - 5.29,mmol/L,,1)
a-amylase,,670 333 - 1264,U/L,,1)
Lipase,,118 0 - 250,U/L,,1)
CK,,137 41 - 378,U/L,,1)
Fructosamine,,277 177 - 314,μmol/L,,1)
CRP (C-reactive protein) Immunoturbidimetry,,6.8 0.0 - 10.7,mg/L,,1)
Report created on 27.08.2025 at 04:34 UTC,,Final report,,Page 2 of 4,
"",,,,,
"",,Vet Med Labor GmbH Labor Kornwestheim Labor Leipzig,,069 153 253 290,
"",,Division of IDEXX Laboratories Humboldtstraße 2 Druckereistraße 4,,,
"",,www.idexx.de 70806 Kornwestheim 04159 Leipzig,,laborservice@idexx.com,
"",,,,,
Pet-Owner:,Pereira,Animal name: Daisy,Internal lab-number:,LZ057364,
"",,,,,
TEST,,RESULT REFERENCE VALUE,,,
material: EDTA whole blood,,,,,
"Blood count, small",,,,,
Erythrocytes,,6.65 5.4 - 8.7 x10^12/L,,,1)
Haematocrit,,0.457 0.383 - 0.565 L/L,,,1)
Haemoglobin concentration,,158 134 - 207 g/L,,,1)
MCV,,68.7 59.0 - 76.0 fL,,,1)
MCH,,23.8 21.9 - 26.1 pg,,,1)
MCHC,,346 326 - 392 g/L,,,1)
Leukocytes,,6.19 4.9 - 17.6 x10^9/L,,,1)
Thrombocytes,,234 143 - 448 x10^9/L,,,1)
Differential blood count,,,,,
Segmented neutrophils,,50.4 %,,,1)
Lymphocytes,,35.1 %,,,1)
Monocytes,,7.6 %,,,1)
Eosinophils,,6.9 %,,,1)
Basophils,,0.0 %,,,1)
Segmented neutrophils (absolute),,3.12 2.94 - 12.67 x10^9/L,,,1)
Lymphocytes (absolute),,2.17 1.06 - 4.95 x10^9/L,,,1)
Monocytes (absolute),,0.47 0.13 - 1.15 x10^9/L,,,1)
Eosinophils (absolute),,0.43 0.07 - 1.49 x10^9/L,,,1)
Basophils (absolute),,0 0 - 0.1 x10^9/L,,,1)
Reticulocytes,,,,,
Reticulocytes (relative),,0.6 %,,,1)
Reticulocytes (absolute),,39.9 K/μL,,,1)
Degree of bone marrow response (Reticulocytes K/μl):,,,,,
"","< 110,0 Normal if nonanaemic",,,,
"","< 110,0 Inadequate if anaemic",,,,
"","110,0 - 150,0 Mild regeneration",,,,
"","150,0 - 300,0 Moderate regeneration",,,,
"","> 300,0 Marked regeneration",,,,
Reticulocyte haemoglobin,,25.9 24.5 - 31.8 pg,,,1)
Interpretation and comments:,,,,,
1) Location Leipzig (not accredited),,,,,
2) The level of haemolysis in the specimen shows no significant impact on the analysis of clinical-chemical parameters.,,,,,
3) The level of lipaemia of the specimen has no significant impact on the analysis of the clinical-chemical parameters.,,,,,
Report created on 27.08.2025 at 04:34 UTC,,Final report,,Page 3 of 4,
"",,,,
"",,Vet Med Labor GmbH Labor Kornwestheim,Labor Leipzig 069 153 253 290,
"",,Division of IDEXX Laboratories Humboldtstraße 2,Druckereistraße 4,
"",,www.idexx.de 70806 Kornwestheim,04159 Leipzig laborservice@idexx.com,
"",,,,
Pet-Owner:,Pereira,Animal name: Daisy,Internal lab-number:,LZ057364
"",,,,
"4) In a patient that presented unwell, a result that is <100 ng/mL suggests that active kidney injury is not present.",,,,
"If an insult that may have caused kidney injury is suspected, rechecking functional kidney markers and cystatin B in 24-48 hours is recommended.",,,,
"Additional diagnostics such as imaging, urine protein:creatinine ratio and urine culture with susceptibility may be helpful.",,,,
"Note: Dehydration, subclinical illness, and certain medications (e.g., NSAIDS) may contribute to kidney injury.",,,,
Consider the risk/benefit of such medications in the overall management of the patient.,,,,
"For more information on Cystatin B, visit www.idexx.com/cystatinB",,,,
"5) Please note that due to storage and transport of the urine, the pH may shift to a more alkaline value and that crystalline structures may be altered.",,,,
"6) In a stable water balance and electrolyte status, a specific gravity of > 1030 allows the assumption of sufficient renal concentration ability.",,,,
7) Dogs with no clinical signs of hypothyroidism and results within the normal reference range are likely euthyroid. Dogs with low T4 concentrations,,,,
"may be hypothyroid or ""euthyroid sick"". Occasionally, hypothyroid dogs can have T4 concentrations that are low normal. Dogs with clinical signs of",,,,
hypothyroidism and low or low normal T4 concentrations may be evaluated further by submission of canine TSH. A mildly elevated T4 concentration in,,,,
"a clinically normal dog is likely variation of normal. Thyroid neoplasia is rare in dogs. For dogs on thyroid supplement, acceptable 4-6 hour post pill total",,,,
T4 concentrations generally fall within the higher end or slightly above the reference range.,,,,
"8) SDMA is within the reference interval and creatinine is increased. This combination of results is uncommon. Hemolysis, if present, can result in",,,,
decreased SDMA. SDMA and creatinine can both be affected by biologic and assay variability resulting in fluctuations around the upper end of the,,,,
reference interval. This can be seen with well-managed stable CKD and results will likely align as disease progresses. Creatinine can exceed the,,,,
reference interval in muscular dogs with normal kidney function. Creatinine can be artifactually increased postprandially. If kidney disease is still,,,,
"suspected, a complete urinalysis should be performed on all patients to evaluate for inappropriate specific gravity, proteinuria or other evidence of",,,,
kidney disease.,,,,
Validated by:,,,,
Nora Berghoff Dr. med. vet. Phd Dipl. ACVP (Clin.Path.),,,,
Our printed reports are valid without signature.,,,,
All test analysis is performed in our Kornwestheim Laboratory and as such is included in the scope of accreditation unless otherwise indicated (DIN,,,,
"EN ISO/IEC 17025, D-PL-13356-01-00).",,,,
All results apply to the received sample(s) and provided information.,,,,
Information regarding the precise date of the test performance are available on request.,,,,
Report created on 27.08.2025 at 04:34 UTC,,Final report,Page 4 of 4,
Powered by TCPDF (www.tcpdf.org),,,,
